session_id,session_title,session_description,room,floor,start_datetime,end_datetime,duration_hrs,multiday,pre_registration,byo_laptop,speakers,session_type,keywords,skill_level
1064,Excel 1: Getting started with spreadsheets,"In this introduction to spreadsheets, you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, navigate spreadsheets and conduct simple calculations like sum, average and median. This session is good for: Data beginners.",Studio 8,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Stephanie Lamm, The Houston Chronicle",Hands-on,data analysis;excel,Beginner
1137,Data dive: The 2019 Philip Meyer winners,A data deep dive into the 2019 Philip Meyer Award winners.,Bissonet,3rd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Sarah Cohen, Arizona State University;Ren Larson, The Arizona Republic;Benjamin Lesser, Reuters;Sean McMinn, NPR;Janet Roberts, Reuters;Carolyn Thompson, Independent journalist",Panel,story ideas,General interest
2045,Regular expressions for the rest of us,"Regular expressions are a powerful tool when working with data. They're supported by a variety of text editors, databases and programming languages, but they can be intimidating. Get familiar with the basics of regular expressions and how they can help with your next batch of dirty data. This session is good for: People who have ever done more than two search/replace actions to clean a data set, or had to split a ZIP code from an address or otherwise want to conquer their fears of regex.",Studio 10,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,True,"Justin Myers, The Associated Press",Hands-on,data cleaning;regex,Intermediate
2061,Finding needles in haystacks with fuzzy matching,"Fuzzy matching is a process for linking up names that are similar but not quite the same. It has become an increasingly important part of data-led investigations as a way to identify connections between public figures, key people and companies that are relevant to a story. This class will cover how fuzzy matching typically fits into the investigative process, with some story examples. Max Harlow, who developed the CSV Match command line tool, will show you how to run some of the different types of fuzzy matching on some real datasets, including the pros and cons of each. This session is good for: People who feel comfortable using the command line.",Studio 9,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Max Harlow, The Financial Times",Hands-on,data rescue;command line,Intermediate
2091,Introduction to VisiData,"VisiData is a fast, powerful, keyboard-driven tool for quickly exploring datasets. It's often the first piece of software I use to examine new data. In this hands-on session, you'll learn VisiData's essentials commands — including how to sort, filter, summarize and aggregate. This session is good for: People who have a basic familiarity with your computer's command line interface. No programming knowledge necessary, but some knowledge of Python is a plus.",Studio 6,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Jeremy Singer-Vine, BuzzFeed News",Hands-on,data analysis;command line,Intermediate
2170,Tracking money spent on candidates up and down the ballot in 2020,"The 2020 election will see record levels of spending. This panel will provide a host of useful tips and advice on how to best track the money spent on candidates up and down the ballot. Experts will explain how to use FEC.gov, OpenSecrets.org, FollowTheMoney.org and other sources to find the patterns — and anomalies — that will help you uncover relationships hidden in campaign finance data.",Galerie 3,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Sandra Fish, Independent journalist;Denise Roth Barber, National Institute On Money In Politics;Ben Wieder, McClatchy",Panel,election & politics;election,Beginner
2240,How I learn to tell stories with data,"With a dizzying number of tools and methods to learn data, what works best for journalism students learning how to tell good and accurate stories with data? In this session, we'll ask the students! Journalism educators and students alike should benefit from this discussion of methods that help students learn sound data principles and continue adapting to new tools.",Galerie 4,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Sophia Brown, Boston University;Kimberly Cataudella, Investigative Reporting Workshop;Maggie Mulvihill, Boston University",Commons,,
2326,How the internet works (so you can scrape the web!),"Need to scrape a web page? Using tools included with modern browsers, you will learn how to inspect the code behind a website and monitor network traffic to help you target information for extraction.",Galerie 6,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Andrew Chavez, The New York Times",Demo,web scraping,Beginner
2430,Negotiating for data at scale,Details coming soon!,Galerie 2,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Ellen Gabler, The New York Times;Cheryl Phillips, Stanford University",Panel,data wrangling,Intermediate
2471,Finding the story: Census data,Census data can bring context and depth to stories on practically any beat. It can also be overwhelming to sift through and find what you need. This hands-on session will walk you through a real census dataset to help you find stories hidden in all that demographic data. This session is good for: Those who have some experience with spreadsheets.,Studio 7,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,False,"Joe Germuska, Northwestern University Knight Lab",Hands-on,census & demographics,Beginner
2481,"""Scrollytelling"" with MapBox","Build a scrollytelling experience using Mapbox Studio and the new Storytelling Solution by Mapbox with little to no code. In this session, you’ll learn to quickly create a scrollytelling map using Mapbox’s new template and publish the results on Glitch. This session is good for: Those who are familiar with mapping concepts.",Studio 1,2nd,2020-03-05T09:00:00,2020-03-05T10:00:00,1.0,False,False,True,"Lo Bénichou, Mapbox",Hands-on,mapping;mapbox,Intermediate
2488,Exhibitors and recruiters,Be sure to stop by the Studio foyers on the 2nd floor and visit with the exhibitors/recruiters.,Studio Foyers,2nd,2020-03-05T09:00:00,2020-03-05T17:00:00,8.0,True,False,False,,Special,,
1065,Excel 2: Formulas & sorting,"Much of Excel's power comes in the form of formulas. In this class, you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting. This session is good for: Anyone who is comfortable navigating Excel.",Studio 8,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Carli Brosseau, The News & Observer",Hands-on,data analysis;excel,Beginner
1119,GitHub for journalists,"We'll cover Github's basic features — repositories, commits, branches, pull requests and issues — using a recent data-driven story as a case study. The goal is for you to leave the class and be able to use GitHub on your own for your next story. Please note: You will need to bring your own laptop to participate in this class. You will also need to have created an account at GitHub.com and install GitHub Desktop prior to the class. This session is good for: Journalists who want to collaborate on data analyses, back up their work and share their methodology with (nerdy) readers.",Studio 1,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,True,"Brent Jones, St. Louis Public Radio",Hands-on,data analysis;github,Intermediate
1135,Mining data into TV gold,"You see numbers; we see compelling television. Stuck looking at interminable spreadsheets and numbers that make your head swim? In this session you’ll learn how to use data to find good stories and then turn that data and all those “boring numbers” into compelling, visual television that will make your bosses and your audience sit up and take notice. We’ll even have examples of stories you can take home and do in your community.",Galerie 2,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Jodie Fleischer, WRC-TV NBC4 Washington;A.J. Lagoe, KARE11;Stephen Stock, NBC Bay Area",Panel,broadcast,Beginner
2058,Finding the story: Using natural language processing in social media research,"Ever felt lost poring over a massive archive? Want to churn up interesting stories from social networks, chat archives, or forums with (relative) ease? Why not try using a little natural language processing (NLP)! This session will give you a taste of how to apply a blend of linguistics and AI to the text-based world of the internet. You will learn some basic NLP concepts, and how to apply them to online texts using the Python package Spacy. You'll be able to walk out of this session ready to start digging through data of your own. This session is good for: People who are comfortable working in Python.",Studio 9,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Madeleine Varner, The Markup",Hands-on,machine learning;python,Advanced
2124,How to negotiate for data and records,"The struggle is real. We'll discuss how to wrench the data/records out of agencies who don’t want to make it easy on you. Learn how to negotiate, sweet talk and strong-arm when you need to.",Bissonet,3rd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Cary Aspinwall, The Marshall Project;Matt Dempsey, Houston Chronicle;Matt Topic, Loevy & Loevy;Jodi Upton, Syracuse University",Panel,open records,General interest
2158,How to make charts less bad,"Good data visualization design helps maximize your story's impact by making it easier to understand and more engaging. This session covers the basic dos and don'ts for data visualization. We will discuss how different design strategies can help or hurt your story, with plenty of examples from leading journalism outlets. We will also share a tipsheet of design resources (books, online/offline communities, documentaries, podcasts) to help attendees explore further post-NICAR.",Galerie 6,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Anna Flagg, The Marshall Project;Sean McMinn, NPR;Moiz Syed, ProPublica",Panel,data viz & design,General interest
2169,My own worst enemy: Overcoming impostor syndrome,"Did you ever get the feeling that you're a fraud and it's only a matter of time before someone finds out? Congratulations! You may have impostor syndrome. We will explore the causes of impostor syndrome, including the systemic factors that drive it, and provide evidence-based strategies for coping.",Galerie 4,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Melissa Lewis, Reveal from The Center for Investigative Reporting;Kate Martin, Carolina Public Press",Commons,work better,General interest
2197,Newsroom web scraping with JavaScript,"If you want to scrape websites, crawl them, extract their data, take screenshots and deal with any interactive elements, this class will show you how. A great way to scrape websites that rely heavily on JavaScript is to scrape them using JavaScript. Cypress and Puppeteer are great tools to use; Puppeteer is a Node project which provides an API to control the Chrome browser, and Cypress is normally used for site testing. We'll show you how these tools can be used to gather data for your stories, and how they fit into a newsroom data pipeline. This session will provide demos of how to scrape with both. This session is good for: People with intermediate knowledge of JavaScript and Node.",Studio 6,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Alison Benjamin, BBC News;Jon Keegan, The Markup",Hands-on,web scraping;javascript,Advanced
2258,Covering immigration with data,Details coming soon!,Acadia,3rd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Sophie Chou, ProPublica;Andy Lehren, NBC News",Panel,immigration,General interest
2322,Newsroom open-source tool showcase,Details coming soon!,Galerie 3,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Justin Mayo, Big Local News",Demo,tools,General interest
2483,Data cleaning with OpenRefine 1: The basics,"Learn how to use OpenRefine, a powerful tool for quickly cleaning up dirty data. You'll learn about faceting, simple clustering, applying common data transformations and more. This session is good for people with basic experience working with data.",Studio 10,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,True,"Tommy Kaas, Kaas & Mulvad;Nils Mulvad, Kaas & Mulvad",Hands-on,data cleaning;openrefine,Beginner
2485,Create interactive demographic maps in minutes with ArcGIS Online,"Demographic information can add critical context to any story. When paired with location, it can help explain why things happen where they do. Join us for a hands-on session where we’ll explore visualization- and analysis-ready datasets available to use in your stories. We’ll show you how to quickly find authoritative content in ArcGIS Online, run powerful spatial analyses, and create responsive web apps to support your reporting. You will get hands-on experience with the browser-based ArcGIS Online. Anyone who attends this session will also receive complimentary access to ArcGIS Pro, ArcGIS Online, and ArcGIS Maps for Office so you can continue your visualization journey long after you leave the conference. This session is good for: Anyone who’s wanted to dig into demographics but wasn’t sure where or how to start and those interesting in telling visual stories with that data.",Studio 7,2nd,2020-03-05T10:15:00,2020-03-05T11:15:00,1.0,False,False,False,"Robby Deming, Esri;Christopher Vaillancourt, Esri",Hands-on,mapping;arcgis,Intermediate
1040,"Investigating natural disasters: What to do before, during and after","We'll talk about databases you need to be prepared before a disaster occurs, how to gather data in real-time, and long-range strategies for reporting on recovery efforts.",Galerie 3,2nd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,False,"Jeff Adelson, The Times-Picayune | The New Orleans Advocate;John Harden, Washington Post;Laura Moscoso, Centro de Periodismo Investigativo ;Eric Sagara, Big Local News",Panel,natural disaster,General interest
1054,Data and docs for your arsenal,"Get your FOI templates ready to roll. In this quick-paced, lightning-round style session, two investigative reporters and public records geeks will cover their favorite, most unique, overlooked and under-appreciated records to request from all levels of government. They'll also give examples of how these records were used to produce stories in newsrooms around the country.",Bissonet,3rd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,False,"Samah Assad, CBS Chicago/WBBM;Steven Rich, The Washington Post",Panel,open records,General interest
1066,Excel 3: Filtering & pivot tables,"A look at the awesome power of pivot — and how to use it to analyze your dataset in minutes rather than hours. We'll work up to using a pivot table by first sorting and filtering a dataset, learning how to find story ideas along the way. This session is good for: Anyone familiar with formulas and navigating Excel or another spreadsheet program.",Studio 8,2nd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,False,"Mark Walker, The New York Times",Hands-on,data analysis;excel,Intermediate
1105,Python: Let's scrape a website,"This session will show you how to use the Python programming language to scrape data from websites. This session is good for: People who already feel comfortable writing simple Python scripts and understand basic syntax (data types, if/else statements, for loops, etc.). Experience with HTML is a plus but not necessary. Note: It would be useful to attend the demo session ""How the internet works (so you can scrape the web!)"" at 9 a.m. Thursday if you’re not familiar with the topic already.",Studio 9,2nd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,False,"Ryan Pitts, OpenNews",Hands-on,web scraping;python,Advanced
1107,Google Sheets: Scraping without coding,"Yes, you can scrape data without using code -- in fact, all you need is Google Sheets! We'll be using Excel-type formulas (don't worry if you don't know what those are, either) to make simple scrapers that automatically pull data into Google Sheets. It’s the best way to get around clunky websites and unhelpful PIOs! This session is good for: Beginners who want to start using data for their stories.",Studio 1,2nd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,True,"Samantha Sunne, Independent journalist",Hands-on,web scraping;google sheets,Beginner
2144,Polling best practices ahead of 2020,Details coming soon!,Acadia,3rd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,False,"Chris Jackson, Ipsos;Joanna Piacenza, Morning Consult",Panel,election & politics,Beginner
2160,Datasette: An ecosystem of tools for exploring data and collaborating on data projects,Details coming soon!,Studio 6,2nd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,False,"Simon Willison, JSK Fellowships at Stanford",Hands-on,data analysis;command line,Intermediate
2456,Navigating NICAR as a TV journalist,Details coming soon!,Galerie 4,2nd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,False,,Commons,,
2479,Making graphics with R,Details coming soon!,Studio 7,2nd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,False,"David Montgomery, Minnesota Public Radio News",Hands-on,data viz & design;r,Intermediate
2484,Data cleaning with OpenRefine 2: More advanced uses,"This class will cover more advanced techniques for cleaning data using OpenRefine, including regular expressions and writing custom cleaning scripts. The session is good for people who are comfortable using the basic functions of OpenRefine.",Studio 10,2nd,2020-03-05T11:30:00,2020-03-05T12:30:00,1.0,False,False,True,"Tommy Kaas, Kaas & Mulvad;Nils Mulvad, Kaas & Mulvad",Hands-on,data cleaning;openrefine,Intermediate
1025,Journalists of color in the newsroom meetup,Join this networking and discussion session with other journalists of color. IRE & NICAR will provide drinks and snacks.,Carondelet,3rd,2020-03-05T12:45:00,2020-03-05T14:00:00,2.0,False,False,False,"Erik Reyna, The Washington Post",Special,diversity,General interest
1002,Intro to R,"We'll introduce you to R, a free, powerful open-source programming language that will take your data reporting to the next level. By the end of this three-hour session, you will be able to read data from common file types into R, clean and explore it, create visualizations, and make your entire data workflow reproduceable. We'll also talk about how to find help when you're stuck. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: This session will be most helpful if you’re comfortable working with data and you’re ready to take your skills to the next level.",Studio 2,2nd,2020-03-05T14:15:00,2020-03-05T17:45:00,3.5,False,True,False,"Hannah Fresques, ProPublica;Agnel Philip, ProPublica",Hands-on,data analysis;r,Intermediate
1014,Introduction to web development,"This session will introduce you to how the web works and the building blocks of web development: HTML, CSS and (a tiny bit of) JavaScript. By the end of the class, you will have built a simple web page and published it on the internet. Preregistration is required and seating is limited. Laptops will be provided for the training. Workshop prerequisites: This session is good for beginners -- no experience necessary.",Studio 9,2nd,2020-03-05T14:15:00,2020-03-05T17:45:00,3.5,False,True,False,"Sisi Wei, OpenNews",Hands-on,web development;html,Beginner
1015,First Observable notebook: Prototyping with polish,"Alex Garcia, Ellis Simani, Ben Welsh and Aaron Williams teach you how to rapidly prototype a complex data visualization with JavaScript, D3.js and an interactive Observable notebook. This three-hour, hands-on course will show you how journalists are putting Observable’s powerful potential to work. Using nothing but your web browser, you will sketch, refine and publish an interactive graphic like one that appeared in The New York Times. Along the way, you’ll see how Observable’s groundbreaking approach to coding can help you be more creative, ambitious and efficient. Preregistration is required and seating is limited. Laptops will be provided. Workshop prerequisites: If you’ve used JavaScript once or twice, have a good attitude and know how to take a few code crashes in stride, you are qualified for this class. If you’re suspicious and think we might be Internet hipsters, we welcome the challenge of winning you over. This stuff is cool.",Studio 3,2nd,2020-03-05T14:15:00,2020-03-05T17:45:00,3.5,False,True,False,"Alex Garcia, University of California San Diego;Ellis Simani, ProPublica;Ben Welsh, Los Angeles Times;Aaron Williams, The Washington Post",Hands-on,data viz & design;javascript,Advanced
1021,Master class: Statistics for journalists,"Statistical methods can help you go beyond counting, sorting and filtering data to look at relationships, make predictions and level the playing fields. Statistical analyses can provide hard evidence to back up (or discredit) a theory. This master class will help you understand the concepts and methods most often used by journalists, including: * Linear regression * Correlation * Statistical significance * Describing and visualizing your data This master class is aimed at those already familiar with basic data analysis using spreadsheets and ready to add statistical analysis to their toolkits. Please bring your laptop to the training. Before the conference, please install R and R Studio (free, open-source software) on your computers.",Galerie 5,2nd,2020-03-05T14:15:00,2020-03-05T17:45:00,3.5,False,False,False,"Steve Doig, Arizona State University;Holly Hacker, The Dallas Morning News",Master Class,statistics,Intermediate
1049,Free and easy data viz,"Got a data project you want to make shine, but you're short on time, money and help? We'll demonstrate several free tools both online and on your computer so you can make interactive maps, graphs, timelines, and even simple animations. No previous experience needed — and these tools work great for social media, online, print and television.",Galerie 2,2nd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"Jamie Grey, InvestigateTV;Erin Mansfield, USA Today Network",Demo,data viz & design,General interest
1070,Excel: Advanced pivot tables,"You've done a few pivot tables and are getting curious what more you could do with them. What happens if you aggregate by more than one column? What are those ""column"" and ""filter"" boxes for? Come unlock the full potential of pivot tables in this intermediate spreadsheet class. This session is good for: People familiar with spreadsheets and aggregating data with pivot tables, or anyone who has taken Excel 1-3.",Studio 8,2nd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"Kimbriell Kelly, Los Angeles Times",Hands-on,data analysis;excel,Intermediate
1083,R 1: Intro to R and RStudio,"Jump into statistics with R, the powerful open-source programming language. In this class we’ll cover R fundamentals and learn our way around the RStudio interface for using R. This session is good for: People with a basic understanding of code who are ready to go beyond Excel.",Studio 7,2nd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"Rob Wells, University of Arkansas",Hands-on,data analysis;r,Intermediate
1099,Python 1: The fundamentals,An introduction to the Python programming language for absolute beginners. This session will cover the fundamentals and basic syntax to prepare you for more advanced classes. This session is good for: People who are comfortable working with data in spreadsheets or database managers and want to make the leap to programming.,Studio 6,2nd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"Caitlin Ostroff, The Wall Street Journal",Hands-on,programming;python,Intermediate
2050,Finding the story: Using DNS search for investigative journalism,"Every online interaction begins with a lookup in the Domain Name System (DNS), the backbone of the Internet. As a result, there are digital footprints left behind in the DNS. With the demise of Whois, investigative reporters are looking for new tools to uncover these footprints. Learn how to use DNSDB Scout, a tool to query DNSDB, a historical passive Domain Name System (DNS) database, to discover previously unknown online connections and gain new information to advance your ongoing and breaking news investigations. Basic knowledge of the Domain Name System (DNS) is helpful, but not required.",Studio 1,2nd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,True,"Paul Vixie, Farsight Security, Inc.",Hands-on,research,Advanced
2161,Campaign finance questions people ask … plus yours!,Details coming soon!,Galerie 4,2nd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"Sheila Krumholz, Center for Responsive Politics;Anna Massoglia, Center for Repsonsive Politics;Derek Willis, ProPublica;Chris Zubak-Skees, Center for Public Integrity",Commons,election & politics;election,Beginner
2378,Using open crime and policing data,"Open data provides unique insights into crime, policing and criminal justice activity within a city and creates a new opportunity to tell complex, interactive stories in dashboard format. These data are a terrific source for identifying changing crime trends, evaluating policy effectiveness, and providing transparency to the public on issues of critical importance. In this presentation Jeff Asher of AH Datalytics will go over the different types of available data throughout the criminal justice spectrum and give examples of how these data can be used both in terms of analyzing crime trends as well as building dashboards to better illustrate a story.",Galerie 3,2nd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"Jeff Asher, AH Datalytics",Demo,crime,Intermediate
2423,Year in CAR: Local innovation,"So often the most celebrated examples of innovation in digital, visual and interactive journalism come from teams with uncommon access to resources and talent. You know the ones, often on the coasts, that continually set the industry standard for digital innovation. This panel isn't about those newsrooms. Instead, it will showcase the creative digital storytelling happening in local and regional newsrooms, where time and resources are scarce. The panel will be framed as a series of short talks and examples and will include an ability for journalists who cannot attend NICAR to present their work as well.",Acadia,3rd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"Chase Davis, Star Tribune",Panel,story ideas,General interest
2451,Mentoring for diversity and inclusion,Details coming soon!,Bissonet,3rd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"LaSharah Bunting, Knight Foundation;Anna Flagg, The Marshall Project",Panel,diversity,General interest
2462,Finding and researching international connection,"How do we follow people, money and assets when they cross borders? How do we find the hidden cash of Kleptocrats? We’ll discuss sources, tools and communities being used by investigative reporters to find personal, company and government information around the world.",Galerie 6,2nd,2020-03-05T14:15:00,2020-03-05T15:15:00,1.0,False,False,False,"Leila Haddou, Independent journalist;Friedrich Lindenberg, Organized Crime and Corruption Reporting Project;Margot Williams, The Intercept",Panel,international,General interest
2495,"Mastering Google Sheets: Web scraping, running scripts and other tricks  (Thursday)","Google Sheets is more than just free spreadsheet software to organize and store data. This hands-on session will start with pivot tables and conditional formatting, and through examples, we'll also learn how to scrape data in seconds without code, automate menial tasks with macros, write custom spreadsheet formulas as well as how to send emails, geocode addresses, translate text and more – all through the power of Google Sheets. Come with a laptop and leave with the knowledge of a Google Sheets power user. Preregistration is required and seating is limited. You musthave a Google account. Computers will be provided. Workshop prerequisites: You should be familiar with using spreadsheets and formulas.",Studio 10,2nd,2020-03-05T14:15:00,2020-03-05T17:45:00,3.5,False,True,True,"Frank Bi, Vox Media",Hands-on,web scraping;google sheets,Beginner
1084,R 2: Data analysis and plotting,"We'll use the tidyverse packages dplyr and ggplot2, learning how to sort, filter, group, summarize, join, and visualize to identify trends in your data. If you want to combine SQL-like analysis and charting in a single pipeline, this session is for you. This session is good for: People who have worked with data operations in SQL or Excel and would like to do the same in R.",Studio 7,2nd,2020-03-05T15:30:00,2020-03-05T16:30:00,1.0,False,False,False,"Maureen Linke, Wall Street Journal",Hands-on,data analysis;r,Intermediate
1100,Python 2: Intro to data analysis using Pandas,"Imagine rolling Excel and MySQL into one tool that also allows you to track your code and share it. That’s Pandas in a nutshell. There’s a lot more you can do with it, of course, but this will be a good start. We’ll learn how to slice and dice our data and extract basic stats. Specifically, we’ll cover loading the data, filtering, sorting and grouping data. This class is good for: People who are comfortable with Excel and are familiar with the basics of SQL and Python.",Studio 6,2nd,2020-03-05T15:30:00,2020-03-05T16:30:00,1.0,False,False,False,"Chris Amico, USA TODAY Network",Hands-on,data analysis;python,Advanced
